Nome do data point,Tempo,Valor,Processado,Comentário
PLC - Height,2023/02/17 12:00:00,86.0,86.0,
PLC - Height,2023/02/17 12:00:04,85.0,85.0,
PLC - Height,2023/02/17 12:00:07,84.0,84.0,
PLC - Height,2023/02/17 12:00:11,83.0,83.0,
PLC - Height,2023/02/17 12:00:14,82.0,82.0,
PLC - Height,2023/02/17 12:00:18,81.0,81.0,
PLC - Height,2023/02/17 12:00:22,80.0,80.0,
PLC - Height,2023/02/17 12:00:26,81.0,81.0,
PLC - Height,2023/02/17 12:00:30,82.0,82.0,
PLC - Height,2023/02/17 12:00:34,83.0,83.0,
PLC - Height,2023/02/17 12:00:38,84.0,84.0,
PLC - Height,2023/02/17 12:00:42,85.0,85.0,
PLC - Height,2023/02/17 12:00:46,86.0,86.0,
PLC - Height,2023/02/17 12:00:49,87.0,87.0,
PLC - Height,2023/02/17 12:00:53,88.0,88.0,
PLC - Height,2023/02/17 12:00:56,89.0,89.0,
PLC - Height,2023/02/17 12:00:59,90.0,90.0,
PLC - Height,2023/02/17 12:01:02,91.0,91.0,
PLC - Height,2023/02/17 12:01:05,92.0,92.0,
PLC - Height,2023/02/17 12:01:08,93.0,93.0,
PLC - Height,2023/02/17 12:01:11,94.0,94.0,
PLC - Height,2023/02/17 12:01:14,95.0,95.0,
PLC - Height,2023/02/17 12:01:17,96.0,96.0,
PLC - Height,2023/02/17 12:01:19,97.0,97.0,
PLC - Height,2023/02/17 12:01:22,98.0,98.0,
PLC - Height,2023/02/17 12:01:24,99.0,99.0,
PLC - Height,2023/02/17 12:01:27,100.0,100.0,
PLC - Height,2023/02/17 12:01:29,99.0,99.0,
PLC - Height,2023/02/17 12:01:31,98.0,98.0,
PLC - Height,2023/02/17 12:01:33,97.0,97.0,
PLC - Height,2023/02/17 12:01:36,96.0,96.0,
PLC - Height,2023/02/17 12:01:38,95.0,95.0,
PLC - Height,2023/02/17 12:01:40,94.0,94.0,
PLC - Height,2023/02/17 12:01:43,93.0,93.0,
PLC - Height,2023/02/17 12:01:45,92.0,92.0,
PLC - Height,2023/02/17 12:01:48,91.0,91.0,
PLC - Height,2023/02/17 12:01:51,90.0,90.0,
PLC - Height,2023/02/17 12:01:54,89.0,89.0,
PLC - Height,2023/02/17 12:01:57,88.0,88.0,
PLC - Height,2023/02/17 12:02:00,87.0,87.0,
PLC - Height,2023/02/17 12:02:03,86.0,86.0,
PLC - Height,2023/02/17 12:02:05,85.0,85.0,
PLC - Height,2023/02/17 12:02:09,84.0,84.0,
PLC - Height,2023/02/17 12:02:12,83.0,83.0,
PLC - Height,2023/02/17 12:02:15,82.0,82.0,
PLC - Height,2023/02/17 12:02:18,81.0,81.0,
PLC - Height,2023/02/17 12:02:21,80.0,80.0,
PLC - Height,2023/02/17 12:02:24,81.0,81.0,
PLC - Height,2023/02/17 12:02:28,82.0,82.0,
PLC - Height,2023/02/17 12:02:31,83.0,83.0,
PLC - Height,2023/02/17 12:02:34,84.0,84.0,
PLC - Height,2023/02/17 12:02:38,85.0,85.0,
PLC - Height,2023/02/17 12:02:41,86.0,86.0,
PLC - Height,2023/02/17 12:02:45,87.0,87.0,
PLC - Height,2023/02/17 12:02:49,88.0,88.0,
PLC - Height,2023/02/17 12:02:53,89.0,89.0,
PLC - Height,2023/02/17 12:02:57,90.0,90.0,
PLC - Height,2023/02/17 12:03:01,91.0,91.0,
PLC - Height,2023/02/17 12:03:04,92.0,92.0,
PLC - Height,2023/02/17 12:03:08,93.0,93.0,
PLC - Height,2023/02/17 12:03:11,94.0,94.0,
PLC - Height,2023/02/17 12:03:15,95.0,95.0,
PLC - Height,2023/02/17 12:03:18,96.0,96.0,
PLC - Height,2023/02/17 12:03:21,97.0,97.0,
PLC - Height,2023/02/17 12:03:24,98.0,98.0,
PLC - Height,2023/02/17 12:03:26,99.0,99.0,
PLC - Height,2023/02/17 12:03:29,100.0,100.0,
PLC - Height,2023/02/17 12:03:32,99.0,99.0,
PLC - Height,2023/02/17 12:03:35,98.0,98.0,
PLC - Height,2023/02/17 12:03:37,97.0,97.0,
PLC - Height,2023/02/17 12:03:40,96.0,96.0,
PLC - Height,2023/02/17 12:03:42,95.0,95.0,
PLC - Height,2023/02/17 12:03:45,94.0,94.0,
PLC - Height,2023/02/17 12:03:47,93.0,93.0,
PLC - Height,2023/02/17 12:03:50,92.0,92.0,
PLC - Height,2023/02/17 12:03:52,91.0,91.0,
PLC - Height,2023/02/17 12:03:54,90.0,90.0,
PLC - Height,2023/02/17 12:03:56,89.0,89.0,
PLC - Height,2023/02/17 12:03:58,88.0,88.0,
PLC - Height,2023/02/17 12:04:00,87.0,87.0,
PLC - Height,2023/02/17 12:04:02,86.0,86.0,
PLC - Height,2023/02/17 12:04:03,85.0,85.0,
PLC - Height,2023/02/17 12:04:05,84.0,84.0,
PLC - Height,2023/02/17 12:04:07,83.0,83.0,
PLC - Height,2023/02/17 12:04:09,82.0,82.0,
PLC - Height,2023/02/17 12:04:11,81.0,81.0,
PLC - Height,2023/02/17 12:04:13,80.0,80.0,
PLC - Height,2023/02/17 12:04:15,82.0,82.0,
PLC - Height,2023/02/17 12:04:16,81.0,81.0,
PLC - Height,2023/02/17 12:04:17,82.0,82.0,
PLC - Height,2023/02/17 12:04:18,84.0,84.0,
PLC - Height,2023/02/17 12:04:19,83.0,83.0,
PLC - Height,2023/02/17 12:04:20,84.0,84.0,
PLC - Height,2023/02/17 12:04:21,86.0,86.0,
PLC - Height,2023/02/17 12:04:22,85.0,85.0,
PLC - Height,2023/02/17 12:04:23,87.0,87.0,
PLC - Height,2023/02/17 12:04:24,88.0,88.0,
PLC - Height,2023/02/17 12:04:26,89.0,89.0,
PLC - Height,2023/02/17 12:04:28,90.0,90.0,
PLC - Height,2023/02/17 12:04:29,91.0,91.0,
PLC - Height,2023/02/17 12:04:30,92.0,92.0,
PLC - Height,2023/02/17 12:04:32,93.0,93.0,
PLC - Height,2023/02/17 12:04:33,94.0,94.0,
PLC - Height,2023/02/17 12:04:35,95.0,95.0,
PLC - Height,2023/02/17 12:04:36,96.0,96.0,
PLC - Height,2023/02/17 12:04:38,97.0,97.0,
PLC - Height,2023/02/17 12:04:39,98.0,98.0,
PLC - Height,2023/02/17 12:04:41,99.0,99.0,
PLC - Height,2023/02/17 12:04:43,100.0,100.0,
PLC - Height,2023/02/17 12:04:44,99.0,99.0,
PLC - Height,2023/02/17 12:04:46,98.0,98.0,
PLC - Height,2023/02/17 12:04:48,97.0,97.0,
PLC - Height,2023/02/17 12:04:50,96.0,96.0,
PLC - Height,2023/02/17 12:04:51,95.0,95.0,
PLC - Height,2023/02/17 12:04:53,94.0,94.0,
PLC - Height,2023/02/17 12:04:56,93.0,93.0,
PLC - Height,2023/02/17 12:04:58,92.0,92.0,
PLC - Height,2023/02/17 12:04:59,91.0,91.0,
PLC - Height,2023/02/17 12:05:02,90.0,90.0,
PLC - Height,2023/02/17 12:05:04,89.0,89.0,
PLC - Height,2023/02/17 12:05:06,88.0,88.0,
PLC - Height,2023/02/17 12:05:09,87.0,87.0,
PLC - Height,2023/02/17 12:05:11,86.0,86.0,
PLC - Height,2023/02/17 12:05:13,85.0,85.0,
PLC - Height,2023/02/17 12:05:16,84.0,84.0,
PLC - Height,2023/02/17 12:05:19,83.0,83.0,
PLC - Height,2023/02/17 12:05:22,82.0,82.0,
PLC - Height,2023/02/17 12:05:24,81.0,81.0,
PLC - Height,2023/02/17 12:05:26,80.0,80.0,
PLC - Height,2023/02/17 12:05:29,81.0,81.0,
PLC - Height,2023/02/17 12:05:31,82.0,82.0,
PLC - Height,2023/02/17 12:05:34,83.0,83.0,
PLC - Height,2023/02/17 12:05:36,84.0,84.0,
PLC - Height,2023/02/17 12:05:38,85.0,85.0,
PLC - Height,2023/02/17 12:05:42,86.0,86.0,
PLC - Height,2023/02/17 12:05:45,87.0,87.0,
PLC - Height,2023/02/17 12:05:48,88.0,88.0,
PLC - Height,2023/02/17 12:05:51,89.0,89.0,
PLC - Height,2023/02/17 12:05:54,90.0,90.0,
PLC - Height,2023/02/17 12:05:57,91.0,91.0,
PLC - Height,2023/02/17 12:06:00,92.0,92.0,
PLC - Height,2023/02/17 12:06:04,93.0,93.0,
PLC - Height,2023/02/17 12:06:07,94.0,94.0,
PLC - Height,2023/02/17 12:06:10,95.0,95.0,
PLC - Height,2023/02/17 12:06:15,96.0,96.0,
PLC - Height,2023/02/17 12:06:19,97.0,97.0,
PLC - Height,2023/02/17 12:06:22,98.0,98.0,
PLC - Height,2023/02/17 12:06:26,99.0,99.0,
PLC - Height,2023/02/17 12:06:29,100.0,100.0,
PLC - Height,2023/02/17 12:06:33,99.0,99.0,
PLC - Height,2023/02/17 12:06:36,98.0,98.0,
PLC - Height,2023/02/17 12:06:39,97.0,97.0,
PLC - Height,2023/02/17 12:06:43,96.0,96.0,
PLC - Height,2023/02/17 12:06:48,95.0,95.0,
PLC - Height,2023/02/17 12:06:51,94.0,94.0,
PLC - Height,2023/02/17 12:06:55,93.0,93.0,
PLC - Height,2023/02/17 12:07:00,92.0,92.0,
PLC - Height,2023/02/17 12:07:04,91.0,91.0,
PLC - Height,2023/02/17 12:07:08,90.0,90.0,
PLC - Height,2023/02/17 12:07:12,89.0,89.0,
PLC - Height,2023/02/17 12:07:17,88.0,88.0,
PLC - Height,2023/02/17 12:07:22,87.0,87.0,
PLC - Height,2023/02/17 12:07:26,86.0,86.0,
PLC - Height,2023/02/17 12:07:31,85.0,85.0,
PLC - Height,2023/02/17 12:07:36,84.0,84.0,
PLC - Height,2023/02/17 12:07:39,83.0,83.0,
PLC - Height,2023/02/17 12:07:43,82.0,82.0,
PLC - Height,2023/02/17 12:07:47,81.0,81.0,
PLC - Height,2023/02/17 12:07:51,80.0,80.0,
PLC - Height,2023/02/17 12:07:54,81.0,81.0,
PLC - Height,2023/02/17 12:07:58,82.0,82.0,
PLC - Height,2023/02/17 12:08:02,83.0,83.0,
PLC - Height,2023/02/17 12:08:06,84.0,84.0,
PLC - Height,2023/02/17 12:08:10,85.0,85.0,
PLC - Height,2023/02/17 12:08:14,86.0,86.0,
PLC - Height,2023/02/17 12:08:19,87.0,87.0,
PLC - Height,2023/02/17 12:08:25,88.0,88.0,
PLC - Height,2023/02/17 12:08:28,89.0,89.0,
PLC - Height,2023/02/17 12:08:32,90.0,90.0,
PLC - Height,2023/02/17 12:08:36,91.0,91.0,
PLC - Height,2023/02/17 12:08:40,92.0,92.0,
PLC - Height,2023/02/17 12:08:46,93.0,93.0,
PLC - Height,2023/02/17 12:08:49,94.0,94.0,
PLC - Height,2023/02/17 12:08:53,95.0,95.0,
PLC - Height,2023/02/17 12:08:57,96.0,96.0,
PLC - Height,2023/02/17 12:09:00,97.0,97.0,
PLC - Height,2023/02/17 12:09:04,98.0,98.0,
PLC - Height,2023/02/17 12:09:09,99.0,99.0,
PLC - Height,2023/02/17 12:09:12,100.0,100.0,
PLC - Height,2023/02/17 12:09:16,99.0,99.0,
PLC - Height,2023/02/17 12:09:19,98.0,98.0,
PLC - Height,2023/02/17 12:09:22,97.0,97.0,
PLC - Height,2023/02/17 12:09:25,96.0,96.0,
PLC - Height,2023/02/17 12:09:28,95.0,95.0,
PLC - Height,2023/02/17 12:09:31,94.0,94.0,
PLC - Height,2023/02/17 12:09:34,93.0,93.0,
PLC - Height,2023/02/17 12:09:37,92.0,92.0,
PLC - Height,2023/02/17 12:09:41,91.0,91.0,
PLC - Height,2023/02/17 12:09:43,90.0,90.0,
PLC - Height,2023/02/17 12:09:46,89.0,89.0,
PLC - Height,2023/02/17 12:09:49,88.0,88.0,
PLC - Height,2023/02/17 12:09:52,87.0,87.0,
PLC - Height,2023/02/17 12:09:55,86.0,86.0,
PLC - Height,2023/02/17 12:09:56,85.0,85.0,
PLC - Height,2023/02/17 12:10:00,84.0,84.0,
PLC - Height,2023/02/17 12:10:02,83.0,83.0,
PLC - Height,2023/02/17 12:10:04,82.0,82.0,
PLC - Height,2023/02/17 12:10:07,81.0,81.0,
PLC - Height,2023/02/17 12:10:09,80.0,80.0,
PLC - Height,2023/02/17 12:10:11,81.0,81.0,
PLC - Height,2023/02/17 12:10:14,82.0,82.0,
PLC - Height,2023/02/17 12:10:15,83.0,83.0,
PLC - Height,2023/02/17 12:10:17,84.0,84.0,
PLC - Height,2023/02/17 12:10:19,85.0,85.0,
PLC - Height,2023/02/17 12:10:21,86.0,86.0,
PLC - Height,2023/02/17 12:10:23,87.0,87.0,
PLC - Height,2023/02/17 12:10:25,88.0,88.0,
PLC - Height,2023/02/17 12:10:28,89.0,89.0,
PLC - Height,2023/02/17 12:10:30,90.0,90.0,
PLC - Height,2023/02/17 12:10:32,91.0,91.0,
PLC - Height,2023/02/17 12:10:34,92.0,92.0,
PLC - Height,2023/02/17 12:10:37,93.0,93.0,
PLC - Height,2023/02/17 12:10:39,94.0,94.0,
PLC - Height,2023/02/17 12:10:41,95.0,95.0,
PLC - Height,2023/02/17 12:10:44,96.0,96.0,
PLC - Height,2023/02/17 12:10:47,97.0,97.0,
PLC - Height,2023/02/17 12:10:49,98.0,98.0,
PLC - Height,2023/02/17 12:10:51,99.0,99.0,
PLC - Height,2023/02/17 12:10:53,100.0,100.0,
PLC - Height,2023/02/17 12:10:55,99.0,99.0,
PLC - Height,2023/02/17 12:10:58,98.0,98.0,
PLC - Height,2023/02/17 12:10:59,97.0,97.0,
PLC - Height,2023/02/17 12:11:01,96.0,96.0,
PLC - Height,2023/02/17 12:11:03,95.0,95.0,
PLC - Height,2023/02/17 12:11:05,94.0,94.0,
PLC - Height,2023/02/17 12:11:07,93.0,93.0,
PLC - Height,2023/02/17 12:11:09,92.0,92.0,
PLC - Height,2023/02/17 12:11:11,91.0,91.0,
PLC - Height,2023/02/17 12:11:13,90.0,90.0,
PLC - Height,2023/02/17 12:11:15,89.0,89.0,
PLC - Height,2023/02/17 12:11:18,88.0,88.0,
PLC - Height,2023/02/17 12:11:20,87.0,87.0,
PLC - Height,2023/02/17 12:11:23,86.0,86.0,
PLC - Height,2023/02/17 12:11:25,85.0,85.0,
PLC - Height,2023/02/17 12:11:27,84.0,84.0,
PLC - Height,2023/02/17 12:11:30,83.0,83.0,
PLC - Height,2023/02/17 12:11:33,82.0,82.0,
PLC - Height,2023/02/17 12:11:35,81.0,81.0,
PLC - Height,2023/02/17 12:11:38,80.0,80.0,
PLC - Height,2023/02/17 12:11:41,81.0,81.0,
PLC - Height,2023/02/17 12:11:44,82.0,82.0,
PLC - Height,2023/02/17 12:11:47,83.0,83.0,
PLC - Height,2023/02/17 12:11:50,84.0,84.0,
PLC - Height,2023/02/17 12:11:52,85.0,85.0,
PLC - Height,2023/02/17 12:11:55,86.0,86.0,
PLC - Height,2023/02/17 12:11:58,87.0,87.0,
PLC - Height,2023/02/17 12:12:00,88.0,88.0,
PLC - Height,2023/02/17 12:12:02,89.0,89.0,
PLC - Height,2023/02/17 12:12:05,90.0,90.0,
PLC - Height,2023/02/17 12:12:08,91.0,91.0,
PLC - Height,2023/02/17 12:12:10,92.0,92.0,
PLC - Height,2023/02/17 12:12:13,93.0,93.0,
PLC - Height,2023/02/17 12:12:16,94.0,94.0,
PLC - Height,2023/02/17 12:12:19,95.0,95.0,
PLC - Height,2023/02/17 12:12:22,96.0,96.0,
PLC - Height,2023/02/17 12:12:25,97.0,97.0,
