Nome do data point,Tempo,Valor,Processado,Comentário
PLC - Height,2023/02/16 20:00:01,96.0,96.0,
PLC - Height,2023/02/16 20:00:04,97.0,97.0,
PLC - Height,2023/02/16 20:00:07,98.0,98.0,
PLC - Height,2023/02/16 20:00:10,99.0,99.0,
PLC - Height,2023/02/16 20:00:13,100.0,100.0,
PLC - Height,2023/02/16 20:00:16,99.0,99.0,
PLC - Height,2023/02/16 20:00:19,98.0,98.0,
PLC - Height,2023/02/16 20:00:22,97.0,97.0,
PLC - Height,2023/02/16 20:00:25,96.0,96.0,
PLC - Height,2023/02/16 20:00:27,95.0,95.0,
PLC - Height,2023/02/16 20:00:30,94.0,94.0,
PLC - Height,2023/02/16 20:00:33,93.0,93.0,
PLC - Height,2023/02/16 20:00:35,92.0,92.0,
PLC - Height,2023/02/16 20:00:38,91.0,91.0,
PLC - Height,2023/02/16 20:00:40,90.0,90.0,
PLC - Height,2023/02/16 20:00:43,89.0,89.0,
PLC - Height,2023/02/16 20:00:44,88.0,88.0,
PLC - Height,2023/02/16 20:00:46,87.0,87.0,
PLC - Height,2023/02/16 20:00:49,86.0,86.0,
PLC - Height,2023/02/16 20:00:51,85.0,85.0,
PLC - Height,2023/02/16 20:00:54,84.0,84.0,
PLC - Height,2023/02/16 20:00:56,83.0,83.0,
PLC - Height,2023/02/16 20:00:58,82.0,82.0,
PLC - Height,2023/02/16 20:01:00,81.0,81.0,
PLC - Height,2023/02/16 20:01:02,80.0,80.0,
PLC - Height,2023/02/16 20:01:04,81.0,81.0,
PLC - Height,2023/02/16 20:01:06,82.0,82.0,
PLC - Height,2023/02/16 20:01:08,83.0,83.0,
PLC - Height,2023/02/16 20:01:10,84.0,84.0,
PLC - Height,2023/02/16 20:01:12,85.0,85.0,
PLC - Height,2023/02/16 20:01:14,86.0,86.0,
PLC - Height,2023/02/16 20:01:15,87.0,87.0,
PLC - Height,2023/02/16 20:01:17,88.0,88.0,
PLC - Height,2023/02/16 20:01:19,89.0,89.0,
PLC - Height,2023/02/16 20:01:20,90.0,90.0,
PLC - Height,2023/02/16 20:01:21,91.0,91.0,
PLC - Height,2023/02/16 20:01:23,92.0,92.0,
PLC - Height,2023/02/16 20:01:24,93.0,93.0,
PLC - Height,2023/02/16 20:01:26,94.0,94.0,
PLC - Height,2023/02/16 20:01:27,95.0,95.0,
PLC - Height,2023/02/16 20:01:29,96.0,96.0,
PLC - Height,2023/02/16 20:01:30,97.0,97.0,
PLC - Height,2023/02/16 20:01:32,98.0,98.0,
PLC - Height,2023/02/16 20:01:33,99.0,99.0,
PLC - Height,2023/02/16 20:01:35,100.0,100.0,
PLC - Height,2023/02/16 20:01:36,99.0,99.0,
