Nome do data point,Tempo,Valor,Processado,Comentário
PLC - Height,2023/02/16 09:20:00,1.0,1.0,
PLC - Height,2023/02/16 09:20:05,2.0,2.0,
PLC - Height,2023/02/16 09:20:09,3.0,3.0,
PLC - Height,2023/02/16 09:20:14,4.0,4.0,
PLC - Height,2023/02/16 09:20:18,5.0,5.0,
PLC - Height,2023/02/16 09:20:23,6.0,6.0,
PLC - Height,2023/02/16 09:20:28,7.0,7.0,
PLC - Height,2023/02/16 09:20:32,8.0,8.0,
PLC - Height,2023/02/16 09:20:36,9.0,9.0,
PLC - Height,2023/02/16 09:20:41,10.0,10.0,
PLC - Height,2023/02/16 09:20:45,11.0,11.0,
PLC - Height,2023/02/16 09:20:50,12.0,12.0,
PLC - Height,2023/02/16 09:20:54,13.0,13.0,
PLC - Height,2023/02/16 09:20:59,14.0,14.0,
PLC - Height,2023/02/16 09:21:03,15.0,15.0,
PLC - Height,2023/02/16 09:21:08,16.0,16.0,
PLC - Height,2023/02/16 09:21:12,17.0,17.0,
PLC - Height,2023/02/16 09:21:16,18.0,18.0,
PLC - Height,2023/02/16 09:21:20,19.0,19.0,
PLC - Height,2023/02/16 09:21:24,20.0,20.0,
PLC - Height,2023/02/16 09:21:28,21.0,21.0,
PLC - Height,2023/02/16 09:21:32,22.0,22.0,
PLC - Height,2023/02/16 09:21:35,23.0,23.0,
PLC - Height,2023/02/16 09:21:39,24.0,24.0,
PLC - Height,2023/02/16 09:21:42,25.0,25.0,
PLC - Height,2023/02/16 09:21:45,26.0,26.0,
PLC - Height,2023/02/16 09:21:48,27.0,27.0,
PLC - Height,2023/02/16 09:21:51,28.0,28.0,
PLC - Height,2023/02/16 09:21:54,29.0,29.0,
PLC - Height,2023/02/16 09:21:57,30.0,30.0,
PLC - Height,2023/02/16 09:22:00,31.0,31.0,
PLC - Height,2023/02/16 09:22:02,32.0,32.0,
PLC - Height,2023/02/16 09:22:05,33.0,33.0,
PLC - Height,2023/02/16 09:22:07,34.0,34.0,
PLC - Height,2023/02/16 09:22:10,35.0,35.0,
PLC - Height,2023/02/16 09:22:12,36.0,36.0,
PLC - Height,2023/02/16 09:22:14,37.0,37.0,
PLC - Height,2023/02/16 09:22:16,38.0,38.0,
PLC - Height,2023/02/16 09:22:19,39.0,39.0,
PLC - Height,2023/02/16 09:22:21,40.0,40.0,
PLC - Height,2023/02/16 09:22:23,41.0,41.0,
PLC - Height,2023/02/16 09:22:25,42.0,42.0,
PLC - Height,2023/02/16 09:22:27,43.0,43.0,
PLC - Height,2023/02/16 09:22:29,44.0,44.0,
PLC - Height,2023/02/16 09:22:31,45.0,45.0,
PLC - Height,2023/02/16 09:22:33,46.0,46.0,
PLC - Height,2023/02/16 09:22:35,47.0,47.0,
PLC - Height,2023/02/16 09:22:38,48.0,48.0,
PLC - Height,2023/02/16 09:22:40,49.0,49.0,
PLC - Height,2023/02/16 09:22:42,50.0,50.0,
PLC - Height,2023/02/16 09:22:45,51.0,51.0,
PLC - Height,2023/02/16 09:22:48,52.0,52.0,
PLC - Height,2023/02/16 09:22:50,53.0,53.0,
PLC - Height,2023/02/16 09:22:53,54.0,54.0,
PLC - Height,2023/02/16 09:22:56,55.0,55.0,
PLC - Height,2023/02/16 09:22:59,56.0,56.0,
PLC - Height,2023/02/16 09:23:02,57.0,57.0,
PLC - Height,2023/02/16 09:23:05,58.0,58.0,
PLC - Height,2023/02/16 09:23:07,59.0,59.0,
PLC - Height,2023/02/16 09:23:11,60.0,60.0,
PLC - Height,2023/02/16 09:23:14,61.0,61.0,
PLC - Height,2023/02/16 09:23:18,62.0,62.0,
PLC - Height,2023/02/16 09:23:21,63.0,63.0,
PLC - Height,2023/02/16 09:23:25,64.0,64.0,
PLC - Height,2023/02/16 09:23:29,65.0,65.0,
PLC - Height,2023/02/16 09:23:33,66.0,66.0,
PLC - Height,2023/02/16 09:23:37,67.0,67.0,
PLC - Height,2023/02/16 09:23:41,68.0,68.0,
PLC - Height,2023/02/16 09:23:45,69.0,69.0,
PLC - Height,2023/02/16 09:23:49,70.0,70.0,
PLC - Height,2023/02/16 09:23:53,71.0,71.0,
PLC - Height,2023/02/16 09:23:56,72.0,72.0,
PLC - Height,2023/02/16 09:24:00,73.0,73.0,
PLC - Height,2023/02/16 09:24:04,74.0,74.0,
PLC - Height,2023/02/16 09:24:07,75.0,75.0,
PLC - Height,2023/02/16 09:24:11,76.0,76.0,
PLC - Height,2023/02/16 09:24:14,77.0,77.0,
PLC - Height,2023/02/16 09:24:17,78.0,78.0,
PLC - Height,2023/02/16 09:24:20,79.0,79.0,
PLC - Height,2023/02/16 09:24:23,80.0,80.0,
PLC - Height,2023/02/16 09:24:25,81.0,81.0,
PLC - Height,2023/02/16 09:24:28,82.0,82.0,
PLC - Height,2023/02/16 09:24:31,83.0,83.0,
PLC - Height,2023/02/16 09:24:33,84.0,84.0,
PLC - Height,2023/02/16 09:24:36,85.0,85.0,
PLC - Height,2023/02/16 09:24:38,86.0,86.0,
PLC - Height,2023/02/16 09:24:41,87.0,87.0,
PLC - Height,2023/02/16 09:24:43,88.0,88.0,
PLC - Height,2023/02/16 09:24:45,89.0,89.0,
PLC - Height,2023/02/16 09:24:47,90.0,90.0,
PLC - Height,2023/02/16 09:24:50,91.0,91.0,
PLC - Height,2023/02/16 09:24:52,92.0,92.0,
PLC - Height,2023/02/16 09:24:55,93.0,93.0,
PLC - Height,2023/02/16 09:24:57,94.0,94.0,
PLC - Height,2023/02/16 09:25:00,95.0,95.0,
PLC - Height,2023/02/16 09:25:02,96.0,96.0,
PLC - Height,2023/02/16 09:25:05,97.0,97.0,
PLC - Height,2023/02/16 09:25:08,98.0,98.0,
PLC - Height,2023/02/16 09:25:11,99.0,99.0,
PLC - Height,2023/02/16 09:25:14,100.0,100.0,
PLC - Height,2023/02/16 09:25:18,99.0,99.0,
PLC - Height,2023/02/16 09:25:21,98.0,98.0,
PLC - Height,2023/02/16 09:25:24,97.0,97.0,
PLC - Height,2023/02/16 09:25:27,96.0,96.0,
PLC - Height,2023/02/16 09:25:31,95.0,95.0,
PLC - Height,2023/02/16 09:25:35,94.0,94.0,
PLC - Height,2023/02/16 09:25:38,93.0,93.0,
PLC - Height,2023/02/16 09:25:42,92.0,92.0,
PLC - Height,2023/02/16 09:25:46,91.0,91.0,
PLC - Height,2023/02/16 09:25:50,90.0,90.0,
PLC - Height,2023/02/16 09:25:53,89.0,89.0,
PLC - Height,2023/02/16 09:25:57,88.0,88.0,
PLC - Height,2023/02/16 09:26:01,87.0,87.0,
PLC - Height,2023/02/16 09:26:04,86.0,86.0,
PLC - Height,2023/02/16 09:26:07,85.0,85.0,
PLC - Height,2023/02/16 09:26:10,84.0,84.0,
PLC - Height,2023/02/16 09:26:13,83.0,83.0,
PLC - Height,2023/02/16 09:26:16,82.0,82.0,
PLC - Height,2023/02/16 09:26:19,81.0,81.0,
PLC - Height,2023/02/16 09:26:22,80.0,80.0,
PLC - Height,2023/02/16 09:26:24,81.0,81.0,
PLC - Height,2023/02/16 09:26:27,82.0,82.0,
PLC - Height,2023/02/16 09:26:29,83.0,83.0,
PLC - Height,2023/02/16 09:26:32,84.0,84.0,
PLC - Height,2023/02/16 09:26:34,85.0,85.0,
PLC - Height,2023/02/16 09:26:36,86.0,86.0,
PLC - Height,2023/02/16 09:26:38,87.0,87.0,
PLC - Height,2023/02/16 09:26:40,88.0,88.0,
PLC - Height,2023/02/16 09:26:43,89.0,89.0,
PLC - Height,2023/02/16 09:26:45,90.0,90.0,
PLC - Height,2023/02/16 09:26:47,91.0,91.0,
PLC - Height,2023/02/16 09:26:49,92.0,92.0,
PLC - Height,2023/02/16 09:26:52,93.0,93.0,
PLC - Height,2023/02/16 09:26:54,94.0,94.0,
PLC - Height,2023/02/16 09:26:57,95.0,95.0,
PLC - Height,2023/02/16 09:26:59,96.0,96.0,
PLC - Height,2023/02/16 09:27:02,97.0,97.0,
PLC - Height,2023/02/16 09:27:05,98.0,98.0,
PLC - Height,2023/02/16 09:27:07,99.0,99.0,
PLC - Height,2023/02/16 09:27:10,100.0,100.0,
PLC - Height,2023/02/16 09:27:13,99.0,99.0,
PLC - Height,2023/02/16 09:27:16,98.0,98.0,
PLC - Height,2023/02/16 09:27:19,97.0,97.0,
PLC - Height,2023/02/16 09:27:23,96.0,96.0,
PLC - Height,2023/02/16 09:27:26,95.0,95.0,
PLC - Height,2023/02/16 09:27:29,94.0,94.0,
PLC - Height,2023/02/16 09:27:33,93.0,93.0,
PLC - Height,2023/02/16 09:27:36,92.0,92.0,
PLC - Height,2023/02/16 09:27:40,91.0,91.0,
PLC - Height,2023/02/16 09:27:44,90.0,90.0,
PLC - Height,2023/02/16 09:27:48,89.0,89.0,
PLC - Height,2023/02/16 09:27:52,88.0,88.0,
PLC - Height,2023/02/16 09:27:56,87.0,87.0,
PLC - Height,2023/02/16 09:28:01,86.0,86.0,
PLC - Height,2023/02/16 09:28:05,85.0,85.0,
PLC - Height,2023/02/16 09:28:09,84.0,84.0,
PLC - Height,2023/02/16 09:28:14,83.0,83.0,
PLC - Height,2023/02/16 09:28:18,82.0,82.0,
PLC - Height,2023/02/16 09:28:22,81.0,81.0,
PLC - Height,2023/02/16 09:28:26,80.0,80.0,
PLC - Height,2023/02/16 09:28:29,81.0,81.0,
PLC - Height,2023/02/16 09:28:33,82.0,82.0,
PLC - Height,2023/02/16 09:28:36,83.0,83.0,
PLC - Height,2023/02/16 09:28:40,84.0,84.0,
PLC - Height,2023/02/16 09:28:43,85.0,85.0,
PLC - Height,2023/02/16 09:28:46,86.0,86.0,
PLC - Height,2023/02/16 09:28:49,87.0,87.0,
PLC - Height,2023/02/16 09:28:52,88.0,88.0,
PLC - Height,2023/02/16 09:28:55,89.0,89.0,
PLC - Height,2023/02/16 09:28:58,90.0,90.0,
PLC - Height,2023/02/16 09:29:01,91.0,91.0,
PLC - Height,2023/02/16 09:29:03,92.0,92.0,
PLC - Height,2023/02/16 09:29:06,93.0,93.0,
PLC - Height,2023/02/16 09:29:08,94.0,94.0,
PLC - Height,2023/02/16 09:29:11,95.0,95.0,
PLC - Height,2023/02/16 09:29:13,96.0,96.0,
PLC - Height,2023/02/16 09:29:15,97.0,97.0,
PLC - Height,2023/02/16 09:29:17,98.0,98.0,
PLC - Height,2023/02/16 09:29:19,99.0,99.0,
PLC - Height,2023/02/16 09:29:21,100.0,100.0,
PLC - Height,2023/02/16 09:29:23,99.0,99.0,
PLC - Height,2023/02/16 09:29:25,98.0,98.0,
PLC - Height,2023/02/16 09:29:27,97.0,97.0,
PLC - Height,2023/02/16 09:29:29,96.0,96.0,
PLC - Height,2023/02/16 09:29:31,95.0,95.0,
PLC - Height,2023/02/16 09:29:33,94.0,94.0,
PLC - Height,2023/02/16 09:29:34,93.0,93.0,
PLC - Height,2023/02/16 09:29:36,92.0,92.0,
PLC - Height,2023/02/16 09:29:37,91.0,91.0,
PLC - Height,2023/02/16 09:29:39,90.0,90.0,
PLC - Height,2023/02/16 09:29:40,89.0,89.0,
PLC - Height,2023/02/16 09:29:42,88.0,88.0,
PLC - Height,2023/02/16 09:29:43,87.0,87.0,
PLC - Height,2023/02/16 09:29:45,86.0,86.0,
PLC - Height,2023/02/16 09:29:47,85.0,85.0,
PLC - Height,2023/02/16 09:29:48,84.0,84.0,
PLC - Height,2023/02/16 09:29:50,83.0,83.0,
PLC - Height,2023/02/16 09:29:51,82.0,82.0,
PLC - Height,2023/02/16 09:29:53,81.0,81.0,
PLC - Height,2023/02/16 09:29:55,80.0,80.0,
PLC - Height,2023/02/16 09:29:56,81.0,81.0,
PLC - Height,2023/02/16 09:29:58,82.0,82.0,
PLC - Height,2023/02/16 09:30:00,83.0,83.0,
PLC - Height,2023/02/16 09:30:02,84.0,84.0,
PLC - Height,2023/02/16 09:30:04,85.0,85.0,
PLC - Height,2023/02/16 09:30:06,86.0,86.0,
PLC - Height,2023/02/16 09:30:08,87.0,87.0,
PLC - Height,2023/02/16 09:30:10,88.0,88.0,
PLC - Height,2023/02/16 09:30:12,89.0,89.0,
PLC - Height,2023/02/16 09:30:15,90.0,90.0,
PLC - Height,2023/02/16 09:30:17,91.0,91.0,
PLC - Height,2023/02/16 09:30:20,92.0,92.0,
PLC - Height,2023/02/16 09:30:22,93.0,93.0,
PLC - Height,2023/02/16 09:30:25,94.0,94.0,
PLC - Height,2023/02/16 09:30:27,95.0,95.0,
PLC - Height,2023/02/16 09:30:30,96.0,96.0,
PLC - Height,2023/02/16 09:30:33,97.0,97.0,
PLC - Height,2023/02/16 09:30:36,98.0,98.0,
PLC - Height,2023/02/16 09:30:39,99.0,99.0,
PLC - Height,2023/02/16 09:30:42,100.0,100.0,
PLC - Height,2023/02/16 09:30:45,99.0,99.0,
PLC - Height,2023/02/16 09:30:48,98.0,98.0,
PLC - Height,2023/02/16 09:30:51,97.0,97.0,
PLC - Height,2023/02/16 09:30:55,96.0,96.0,
PLC - Height,2023/02/16 09:30:58,95.0,95.0,
PLC - Height,2023/02/16 09:31:02,94.0,94.0,
PLC - Height,2023/02/16 09:31:05,93.0,93.0,
PLC - Height,2023/02/16 09:31:09,92.0,92.0,
PLC - Height,2023/02/16 09:31:13,91.0,91.0,
PLC - Height,2023/02/16 09:31:17,90.0,90.0,
PLC - Height,2023/02/16 09:31:21,89.0,89.0,
PLC - Height,2023/02/16 09:31:26,88.0,88.0,
PLC - Height,2023/02/16 09:31:30,87.0,87.0,
PLC - Height,2023/02/16 09:31:34,86.0,86.0,
PLC - Height,2023/02/16 09:31:39,85.0,85.0,
PLC - Height,2023/02/16 09:31:43,84.0,84.0,
PLC - Height,2023/02/16 09:31:48,83.0,83.0,
PLC - Height,2023/02/16 09:31:53,82.0,82.0,
PLC - Height,2023/02/16 09:31:57,81.0,81.0,
PLC - Height,2023/02/16 09:32:01,80.0,80.0,
PLC - Height,2023/02/16 09:32:06,81.0,81.0,
PLC - Height,2023/02/16 09:32:11,82.0,82.0,
PLC - Height,2023/02/16 09:32:15,83.0,83.0,
PLC - Height,2023/02/16 09:32:20,84.0,84.0,
PLC - Height,2023/02/16 09:32:24,85.0,85.0,
PLC - Height,2023/02/16 09:32:28,86.0,86.0,
PLC - Height,2023/02/16 09:32:33,87.0,87.0,
PLC - Height,2023/02/16 09:32:37,88.0,88.0,
PLC - Height,2023/02/16 09:32:42,89.0,89.0,
PLC - Height,2023/02/16 09:32:46,90.0,90.0,
PLC - Height,2023/02/16 09:32:51,91.0,91.0,
PLC - Height,2023/02/16 09:32:56,92.0,92.0,
PLC - Height,2023/02/16 09:33:00,93.0,93.0,
PLC - Height,2023/02/16 09:33:04,94.0,94.0,
PLC - Height,2023/02/16 09:33:08,95.0,95.0,
PLC - Height,2023/02/16 09:33:12,96.0,96.0,
PLC - Height,2023/02/16 09:33:16,97.0,97.0,
PLC - Height,2023/02/16 09:33:20,98.0,98.0,
PLC - Height,2023/02/16 09:33:24,99.0,99.0,
PLC - Height,2023/02/16 09:33:27,100.0,100.0,
PLC - Height,2023/02/16 09:33:31,99.0,99.0,
PLC - Height,2023/02/16 09:33:34,98.0,98.0,
PLC - Height,2023/02/16 09:33:37,97.0,97.0,
PLC - Height,2023/02/16 09:33:40,96.0,96.0,
PLC - Height,2023/02/16 09:33:43,95.0,95.0,
PLC - Height,2023/02/16 09:33:46,94.0,94.0,
PLC - Height,2023/02/16 09:33:49,93.0,93.0,
PLC - Height,2023/02/16 09:33:51,92.0,92.0,
PLC - Height,2023/02/16 09:33:54,91.0,91.0,
PLC - Height,2023/02/16 09:33:57,90.0,90.0,
PLC - Height,2023/02/16 09:33:59,89.0,89.0,
PLC - Height,2023/02/16 09:34:02,88.0,88.0,
PLC - Height,2023/02/16 09:34:04,87.0,87.0,
PLC - Height,2023/02/16 09:34:06,86.0,86.0,
PLC - Height,2023/02/16 09:34:08,85.0,85.0,
PLC - Height,2023/02/16 09:34:10,84.0,84.0,
PLC - Height,2023/02/16 09:34:12,83.0,83.0,
PLC - Height,2023/02/16 09:34:14,82.0,82.0,
PLC - Height,2023/02/16 09:34:16,81.0,81.0,
PLC - Height,2023/02/16 09:34:19,80.0,80.0,
PLC - Height,2023/02/16 09:34:22,81.0,81.0,
PLC - Height,2023/02/16 09:34:25,82.0,82.0,
PLC - Height,2023/02/16 09:34:28,83.0,83.0,
PLC - Height,2023/02/16 09:34:31,84.0,84.0,
PLC - Height,2023/02/16 09:34:34,85.0,85.0,
PLC - Height,2023/02/16 09:34:37,86.0,86.0,
PLC - Height,2023/02/16 09:34:40,87.0,87.0,
PLC - Height,2023/02/16 09:34:43,88.0,88.0,
PLC - Height,2023/02/16 09:34:46,89.0,89.0,
PLC - Height,2023/02/16 09:34:49,90.0,90.0,
PLC - Height,2023/02/16 09:34:52,91.0,91.0,
PLC - Height,2023/02/16 09:34:55,92.0,92.0,
PLC - Height,2023/02/16 09:34:58,93.0,93.0,
PLC - Height,2023/02/16 09:35:01,94.0,94.0,
PLC - Height,2023/02/16 09:35:04,95.0,95.0,
PLC - Height,2023/02/16 09:35:07,96.0,96.0,
PLC - Height,2023/02/16 09:35:10,97.0,97.0,
PLC - Height,2023/02/16 09:35:13,98.0,98.0,
PLC - Height,2023/02/16 09:35:16,99.0,99.0,
PLC - Height,2023/02/16 09:35:19,100.0,100.0,
PLC - Height,2023/02/16 09:35:22,99.0,99.0,
PLC - Height,2023/02/16 09:35:25,98.0,98.0,
PLC - Height,2023/02/16 09:35:28,97.0,97.0,
PLC - Height,2023/02/16 09:35:31,96.0,96.0,
PLC - Height,2023/02/16 09:35:34,95.0,95.0,
PLC - Height,2023/02/16 09:35:37,94.0,94.0,
PLC - Height,2023/02/16 09:35:40,93.0,93.0,
PLC - Height,2023/02/16 09:35:43,92.0,92.0,
PLC - Height,2023/02/16 09:35:46,91.0,91.0,
PLC - Height,2023/02/16 09:35:49,90.0,90.0,
PLC - Height,2023/02/16 09:35:52,89.0,89.0,
PLC - Height,2023/02/16 09:35:55,88.0,88.0,
PLC - Height,2023/02/16 09:35:58,87.0,87.0,
PLC - Height,2023/02/16 09:36:01,86.0,86.0,
PLC - Height,2023/02/16 09:36:04,85.0,85.0,
PLC - Height,2023/02/16 09:36:07,84.0,84.0,
PLC - Height,2023/02/16 09:36:10,83.0,83.0,
PLC - Height,2023/02/16 09:36:13,82.0,82.0,
PLC - Height,2023/02/16 09:36:16,81.0,81.0,
PLC - Height,2023/02/16 09:36:19,80.0,80.0,
PLC - Height,2023/02/16 09:36:22,81.0,81.0,
